id,property_id,rating_count,city
"3423","718124","104","Kumarakom"
"3424","718139","13","Jaipur"
"3425","718178","16","Jaipur"
"3426","718187","7","Dharamshala"
"3427","718189","6","Kausani"
"3428","718212","42","Kausani"
"3429","718221","7","Kausani"
"3430","718237","19","Jaipur"
"3431","718239","68","Kanpur"
"3432","718249","650","Coonoor"
"3433","718259","7","Jaipur"
"3434","718260","63","Goa"
"3435","718277","12","Chittorgarh"
"3436","718282","16","Jaipur"
"3437","718297","8","Katra"
"3438","718317","19","Jaipur"
"3439","718330","16","Diveagar"
"3440","718340","5","Gadag"
"3441","718343","21","Jaipur"
"3442","718353","49","Jaipur"
"3443","718355","44","Gadag"
"3444","718356","237","Coorg"
"3445","718412","16","Jodhpur"
"3446","718413","46","Hyderabad"
"3447","718452","9","Kovalam"
"3448","718459","15","Kovalam"
"3449","718538","61","Coonoor"
"3450","718578","21","Kolkata"
"3451","718579","8","Kolkata"
"3452","718604","4","Katra"
"3453","718607","1","Hyderabad"
"3454","718614","87","Coorg"
"3455","718628","19","Haridwar"
"3456","718630","114","Hyderabad"
"3457","718668","8","Cooch Behar"
"3458","718677","1","Goa"
"3459","718680","4","Goa"
"3460","718698","197","Coonoor"
"3461","718725","3","Gangtok"
"3462","718726","31","Kovalam"
"3463","718842","41","Jaisalmer"
"3464","718844","18","Kollam"
"3465","718864","296","Kollam"
"3466","718867","22","Kottarakkara"
"3467","718868","8","Kottarakkara"
"3468","718872","18","Kottayam"
"3469","718876","50","Diveagar"
"3470","718878","21","Kollam"
"3471","718879","2","Ganpatipule"
"3472","718881","10","Ganpatipule"
"3473","718884","23","Kollam"
"3474","718889","15","Ganpatipule"
"3475","718890","7","Diveagar"
"3476","718891","8","Kochi"
"3477","718900","74","Kolkata"
"3478","718938","96","Lansdowne"
"3479","718957","28","Indore"
"3480","718959","13","Dharamshala"
"3481","718960","11","Kolhapur"
"3482","718961","20","Diveagar"
"3483","718962","128","Ganpatipule"
"3484","718963","30","Kolhapur"
"3485","718965","16","Dharamshala"
"3486","718969","69","Jaisalmer"
"3487","718971","10","Latur"
"3488","718984","7","Chandigarh"
"3489","719020","4","Faridabad"
"3490","719023","10","Chandigarh"
"3491","719024","23","Dharamshala"
"3492","719026","91","Dharamshala"
"3493","719027","2","Dharamshala"
"3494","719030","61","Dharamshala"
"3495","719034","9","Dharamshala"
"3496","719041","18","Chandigarh"
"3497","719051","10","Dharamshala"
"3498","719057","3","Kurukshetra"
"3499","719081","8","Kochi"
"3500","719099","10","Faridabad"
"3501","719101","3","Kollam"
"3502","719103","17","Kolhapur"
"3503","719104","14","Lucknow"
"3504","719106","103","Kausani"
"3505","719107","43","Kolhapur"
"3506","719109","13","Kolhapur"
"3507","719112","137","Dharamshala"
"3508","719113","19","Kolhapur"
"3509","719118","3","Faridabad"
"3510","719119","11","Faridabad"
"3511","719120","33","Faridabad"
"3512","719124","27","Faridabad"
"3513","719126","31","Kottayam"
"3514","719127","5","Faridabad"
"3515","719128","4","Faridabad"
"3516","719136","43","Iritty"
"3517","719138","11","Katra"
"3518","719139","2","Kodaikanal"
"3519","719142","15","Kolhapur"
"3520","719157","45","Ghaziabad"
"3521","719177","9","Diveagar"
"3522","719180","7","Kolhapur"
"3523","719197","19","Diveagar"
"3524","719201","4","Chiplun"
"3525","719220","2","Dehradun"
"3526","719226","2","Dehradun"
"3527","719227","10","Dehradun"
"3528","719238","6","Corbett"
"3529","719241","11","Dehradun"
"3530","719288","7","Kolkata"
