id,property_id,property_name,city,province,area,state,address,room_count,room_type, tad_review_rating,rating_count
"11","1324140","Vista Rooms at Jaisalmer Fort","Jaisalmer","Jaisalmer","'Near Jaisalmer Golden Fort'","Rajasthan","Mohangarh Rd,Amar Sagar Pol","http://ui.cltpstatic.com/places/hotels/1324/1324140/images/raw_19109_1439201242_w.jpg|http://ui.cltpstatic.com/places/hotels/1324/1324140/images/raw_19109_1439201324_w.jpg|http://ui.cltpstatic.com/places/hotels/1324/1324140/images/raw_19109_1439201389_w.jpg|http://ui.cltpstatic.com/places/hotels/1324/1324140/images/raw_19109_1439201503_w.jpg|http://ui.cltpstatic.com/places/hotels/1324/1324140/images/raw_19109_1439201569_w.jpg|http://ui.cltpstatic.com/places/hotels/1324/1324140/images/raw_19109_1439201635_w.jpg|http://ui.cltpstatic.com/places/hotels/1324/1324140/images/raw_19109_1439201686_w.jpg|http://ui.cltpstatic.com/places/hotels/1324/1324140/images/raw_19109_1439201793_w.jpg|http://ui.cltpstatic.com/places/hotels/1324/1324140/images/raw_19109_1439201823_w.jpg","20","Standard Room AC","2.2308",,"13"
"12","1327424","Kumaran Guest House- Karaikal","Karaikal","Karaikal","'Dr. Ambedkar Street'","TamilNadu","160,Thirunallar Road Karaikal","http://ui.cltpstatic.com/places/hotels/1327/1327424/images/img3_w.jpg|http://ui.cltpstatic.com/places/hotels/1327/1327424/images/img2_w.jpg|http://ui.cltpstatic.com/places/hotels/1327/1327424/images/img1_w.jpg","19","Double Bed Room","2.8",,"5"
"13","1360702","Manvar Desert Camp","Jodhpur","Jodhpur",,"Rajasthan","261, Ummaid Heritage, Behind Ummaid Bhawan Palace","http://ui.cltpstatic.com/places/hotels/1360/1360702/images/dlx_w.jpg|http://ui.cltpstatic.com/places/hotels/1360/1360702/images/std_w.jpg|http://ui.cltpstatic.com/places/hotels/1360/1360702/images/bath_w.jpg|http://ui.cltpstatic.com/places/hotels/1360/1360702/images/bath2_w.jpg|http://ui.cltpstatic.com/places/hotels/1360/1360702/images/bath3_w.jpg|http://ui.cltpstatic.com/places/hotels/1360/1360702/images/rest2_w.jpg|http://ui.cltpstatic.com/places/hotels/1360/1360702/images/rest_w.jpg|http://ui.cltpstatic.com/places/hotels/1360/1360702/images/ext_w.jpg|http://ui.cltpstatic.com/places/hotels/1360/1360702/images/ext2_w.jpg|http://ui.cltpstatic.com/places/hotels/1360/1360702/images/std2_w.jpg|http://ui.cltpstatic.com/places/hotels/1360/1360702/images/mis_w.jpg","0",,"2.3846",,"26"
"14","719807","The Blue House Guest House","Jodhpur","Jodhpur","'Old City'","Rajasthan","Sumer Bhawan' Moti chowk , Jodhpur, Rajasthan.","http://ui.cltpstatic.com/places/hotels/7198/719807/images/3_w.jpg|http://ui.cltpstatic.com/places/hotels/7198/719807/images/ertuyi_w.jpg|http://ui.cltpstatic.com/places/hotels/7198/719807/images/dfg_w.jpg|http://ui.cltpstatic.com/places/hotels/7198/719807/images/edrfgthj_w.jpg|http://ui.cltpstatic.com/places/hotels/7198/719807/images/sdfg_w.jpg|http://ui.cltpstatic.com/places/hotels/7198/719807/images/sdfgdfgv_w.jpg|http://ui.cltpstatic.com/places/hotels/7198/719807/images/fdsafaffdfd_w.jpg|http://ui.cltpstatic.com/places/hotels/7198/719807/images/13_w.jpg|http://ui.cltpstatic.com/places/hotels/7198/719807/images/15_w.jpg|http://ui.cltpstatic.com/places/hotels/7198/719807/images/16_w.jpg|http://ui.cltpstatic.com/places/hotels/7198/719807/images/9_w.jpg","21","Standard","4.005","469","400"
"15","1326428","Kavvayi Beach House","Kannur","Kannur","'Payyannur'","Kerala","Trikaripur Kadappurum(PO),Trikaripur, Kasaragod (District)","http://ui.cltpstatic.com/places/hotels/1326/1326428/images/result_view_w.jpg|http://ui.cltpstatic.com/places/hotels/1326/1326428/images/exterior_w.jpg|http://ui.cltpstatic.com/places/hotels/1326/1326428/images/exterior1_w.jpg|http://ui.cltpstatic.com/places/hotels/1326/1326428/images/guest_room2_w.jpg|http://ui.cltpstatic.com/places/hotels/1326/1326428/images/guest_room_w.jpg|http://ui.cltpstatic.com/places/hotels/1326/1326428/images/beach_view_w.jpg|http://ui.cltpstatic.com/places/hotels/1326/1326428/images/shackviewkavvayibeachhouse_w.jpg","8","Deluxe Room Non AC","3.96","63","50"
"16","713044","Sadhoo Inn","Kannur","Kannur","'Kannur Railway Station'","Kerala","Sadhoo Company Road","http://ui.cltpstatic.com/places/hotels/7130/713044/images/4-22-2014_2-43-48_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/IMG_0234_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/IMG_0201_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/IMG_0203_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/IMG_0180_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/IMG_0189_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/IMG_0208_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/IMG_0209_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/adhoo_inn_swimming_pool_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/IMG_0235_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/IMG_0219_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/IMG_0221_w.jpg|http://ui.cltpstatic.com/places/hotels/7130/713044/images/IMG_0185_w.jpg","20","Deluxe Room","4.0476","27","21"
"17","720011","Hotel Prem Plaza","Karnal","Karnal","'Near Railway Station'","Haryana","Railway Road","http://ui.cltpstatic.com/places/hotels/7200/720011/images/6_w.jpg|http://ui.cltpstatic.com/places/hotels/7200/720011/images/qwer_w.jpg|http://ui.cltpstatic.com/places/hotels/7200/720011/images/5_w.jpg|http://ui.cltpstatic.com/places/hotels/7200/720011/images/1_w.jpg|http://ui.cltpstatic.com/places/hotels/7200/720011/images/7_w.jpg|http://ui.cltpstatic.com/places/hotels/7200/720011/images/8_w.jpg|http://ui.cltpstatic.com/places/hotels/7200/720011/images/dfgh_w.jpg|http://ui.cltpstatic.com/places/hotels/7200/720011/images/wsed_w.jpg|http://ui.cltpstatic.com/places/hotels/7200/720011/images/2_w.jpg|http://ui.cltpstatic.com/places/hotels/7200/720011/images/3_w.jpg|http://ui.cltpstatic.com/places/hotels/7200/720011/images/4_w.jpg","20","Executive Room","3.8667",,"15"
"18","708505","Raman Palace","Jodhpur","Jodhpur","'Ratanada Petrol Pump'","Rajasthan","Opp. Kesar Bagh, Shiv Road, Ratanada, JODHPUR- 342001","http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4740_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4760_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4750_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4799_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4787_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4761_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4763_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4772_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4792_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4807_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4809_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/Raman_Palace3_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/Raman_Palace4_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4781_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4798_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4815_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4821_w.jpg|http://ui.cltpstatic.com/places/hotels/7085/708505/images/IMG_4817_w.jpg","20","Economy Room","3.5357",,"28"
"19","744396","Thai Resort","Kannur","Kannur","'Near Parassinikadavu Sri Muthappan Temple'","Kerala","Nr.Sri Muthappan Temple, Parassinikadavu","http://ui.cltpstatic.com/places/hotels/7443/744396/images/download_(2)_w.jpg","6","Standard Room Non AC","4",,"4"
"20","718969","Hotel Manglam","Jaisalmer","Jaisalmer","'City Centre'","Rajasthan","out side amar sagar gate,hanuman circle.","http://ui.cltpstatic.com/places/hotels/7189/718969/images/6_w.jpg|http://ui.cltpstatic.com/places/hotels/7189/718969/images/10_w.jpg|http://ui.cltpstatic.com/places/hotels/7189/718969/images/8_w.jpg|http://ui.cltpstatic.com/places/hotels/7189/718969/images/1_w.jpg|http://ui.cltpstatic.com/places/hotels/7189/718969/images/2_w.jpg|http://ui.cltpstatic.com/places/hotels/7189/718969/images/5_w.jpg|http://ui.cltpstatic.com/places/hotels/7189/718969/images/7_w.jpg|http://ui.cltpstatic.com/places/hotels/7189/718969/images/3_w.jpg|http://ui.cltpstatic.com/places/hotels/7189/718969/images/9_w.jpg|http://ui.cltpstatic.com/places/hotels/7189/718969/images/11_w.jpg|http://ui.cltpstatic.com/places/hotels/7189/718969/images/Hotel_Manglam___Jaisalmer1_w.jpg|http://ui.cltpstatic.com/places/hotels/7189/718969/images/4_w.jpg","9","Deluxe Room","4.5362","123","69"
